University,Location
TU Dortmund University, Germany
Universidad Autónoma de Chapingo, Mexico
Universidad Autónoma del Estado de Hidalgo (UAEH), Mexico
Universidad Autónoma del Estado de México (UAEMex), Mexico
Universidad Autónoma Metropolitana (UAM), Mexico
Universidad Católica Andres Bello, Venezuela
Universidad Católica del Uruguay (UCU), Uruguay
Universidad de Guadalajara (UDG), Mexico
Universidad de las Américas Puebla (UDLAP), Mexico
Universidad de Los Andes (ULA), Venezuela
Universidad de los Andes - Chile, Chile
Universidad de Oviedo, Spain
University of Valle, Colombia
Universidad Diego Portales (UDP), Chile
Universidad EAFIT, Colombia
Universidad Nacional de Córdoba (UNC), Argentina
Universidad Nacional de Rosario (UNR), Argentina
Universidad Nacional de San Luis, Argentina
Universidad Nacional Mayor de San Marcos, Peru
Universidad Simón Bolívar (USB), Venezuela
Universidad Técnica Federico Santa María (USM), Chile
Universidad Tecnológica de Panamá (UTP), Panama
Universidad Tecnológica Nacional (UTN), Argentina
Universidade Católica Portuguesa (UCP), Portugal
Universidade da Coruña, Spain
Universidade de Brasília, Brazil
Universidade Federal de Pernambuco (UFPE), Brazil
Universidade Federal de Santa Catarina, Brazil
Universidade Federal de São Carlos (UFSCar), Brazil
Universidade Federal do Paraná (UFPR), Brazil
University of Ferrara, Italy
Università degli Studi di Udine, Italy
Università degli studi Roma Tre, Italy
Marche Polytechnic University, Italy
Universitas Padjadjaran, Indonesia
Universität Duisburg-Essen, Germany
Université de Lille, France
Université de Lorraine, France
Université de Nantes, France
Université de Rennes 1, France
Université Toulouse 1 Capitole, France
Universiti Kuala Lumpur (UniKL), Malaysia
Universiti Malaysia Pahang, Malaysia
Universiti Malaysia Perlis, Malaysia
Universiti Tunku Abdul Rahman (UTAR), Malaysia
University of Alicante, Spain
University of Baghdad, Iraq
University of Bahrain, Bahrain
University of Bari, Italy
University of Brighton, United Kingdom
University of Calcutta, India
University of Central Lancashire, United Kingdom
University of Dhaka, Bangladesh
University of East London, United Kingdom
University of Engineering and Technology, Lahore (UET)
University of Gdansk, Poland
University of Hartford, United States
University of Hertfordshire, United Kingdom
University of Hradec Kralove, Czech Republic
University of Kwazulu-Natal, South Africa
University of Lincoln, United Kingdom
University of Lodz, Poland
University of Malta, Malta
University of Maribor, Slovenia
University of Messina (UniME), Italy
University of Mississippi, United States
University of Missouri, Kansas City
University of Murcia, Spain
Parthenope University of Naples, Italy
University of New England (Australia), Australia
University of New Hampshire, United States
University of Palermo, Italy
University of Parma, Italy
University of Patras, Greece
University of Salerno, Italy
University of Salford, United Kingdom
University of Santo Tomas, Philippines
University of Seoul, South Korea
University of Texas at San Antonio, United States
University of the Punjab, Pakistan
University of the West of England, United Kingdom
University of Tulsa, United States
University of Tyumen, Russia
University of Wisconsin Milwaukee, United States
University of Wroclaw, Poland
University of Wyoming, United States
University of Žilina, Slovakia
University of Verona, Italy
Viet Nam National University Ho Chi Minh City (VNU-HCM), Vietnam
Vietnam National University, Hanoi
Vytautas Magnus University, Lithuania
West Virginia University, United States
Wrocław University of Science and Technology (WRUST), Poland
Wuhan University of Technology, China
Xi'an Jiaotong Liverpool University, China
Yamaguchi University, Japan
Yerevan State University, Armenia
Yeungnam University, South Korea
Yokohama National University, Japan
University of California San Francisco (UCSF), United States
Karolinska Institutet, Sweden
University of Texas Southwestern Medical Center at Dallas, United States
Weizmann Institute of Science, Israel
University of the Chinese Academy of Sciences (UCAS), China
Rockefeller University, United States
Icahn School of Medicine at Mount Sinai, United States
Shandong University of Science and Technology, China
King Abdullah University of Science and Technology (KAUST), Saudi Arabia
London School of Hygiene and Tropical Medicine, United Kingdon
Charité - Universitätsmedizin Berlin, Germany
University of Texas Health Science Center at Houston, United States
Babol Noshirvani University of Technology, Iran
University of Massachusetts Chan Medical School, United States
Oregon Health & Science University (OHSU), United States
Baylor College of Medicine, United States
Qufu Normal University, China
Changsha University of Science and Technology, China
Central China Normal University, China
Guangzhou University, China
Thomas Jefferson University, United States
The University of Texas MD Anderson Cancer Center, United States
Mayo Clinic Alix School of Medicine, United States
Rutgers, the State University of New Jersey
Indiana University, United States
Medical University of Graz, Austria
Scuola Normale Superiore di Pisa, Italy
Alfaisal University, Saudi Arabia
Brighton and Sussex Medical School, United Kingdom
Copenhagen Business School, Denmark
University of Massachusetts, United States
Medical University of Innsbruck, Austria
Medical University of Vienna, Austria
RCSI University of Medicine and Health Sciences, Ireland
St George's, University of London
Sant'Anna School of Advanced Studies - Pisa, Italy
University of Luxembourg, Luxembourg
Semmelweis University, Hungary
University of Cape Coast, Ghana
Anglia Ruskin University (ARU), United Kingdom
University of California, Merced
China Medical University, Taiwan
Hofstra University, United States
Nova Southeastern University, United States
Reykjavík University, Iceland
Rush University, United States
Swedish University of Agricultural Sciences, Sweden
Harokopio University, Greece
University of Alabama at Birmingham, United States
Brigham Young University, United States
Ton Duc Thang University, Vietnam
Cranfield University, United Kingdom
Zhejiang Normal University, China
Medical University of South Carolina (MUSC), United States
Fuzhou University, China
Guangdong University of Technology, China
Shandong Normal University, China
Paris-East Créteil Val de Marne University, France
Aligarh Muslim University, India
University of Texas Health Science Center at San Antonio, United States
Wuhan Institute of Technology, China
University of Toledo, United States
China University of Petroleum Beijing, China
Southwest Jiaotong University, China
Jiangsu Normal University, China
Augusta University, United States
University of Campania Luigi Vanvitelli, Italy
Mashhad University of Medical Sciences, Iran
Beijing University of Chemical Technology, China
International School for Advanced Studies of Trieste (SISSA), Italy
